Latitude,Longitude,Category
40.63851336,-74.13295551,graffiti
40.71984267,-73.76231066,graffiti
40.70381678,-73.76674269,graffiti
40.6352778,-73.9581869,graffiti
40.67848929,-73.97966257,graffiti
40.67948362,-73.98421942,graffiti
40.67964591,-73.98701352,graffiti
40.67654583,-73.97876547,graffiti
40.66263761,-73.90308041,graffiti
40.67704625,-73.98412986,graffiti
40.67068491,-73.91659058,graffiti
40.67159617,-73.91658944,graffiti
40.67643763,-73.91245185,graffiti
40.67646824,-73.91299979,graffiti
40.67135719,-73.90240083,graffiti
40.67178,-73.90252638,graffiti
40.67465345,-73.90542428,graffiti
40.72722535,-73.97965852,graffiti
40.72701959,-73.98025028,graffiti
40.72831143,-73.97534304,graffiti
40.73051688,-73.98318263,graffiti
40.72962448,-73.9809206,graffiti
40.72926472,-73.97978778,graffiti
40.66579374,-73.9977327,graffiti
40.66072141,-73.99996035,graffiti
40.88052288,-73.85772243,graffiti
40.66733893,-73.99445599,graffiti
40.72921044,-73.98364118,graffiti
40.72899902,-73.98313611,graffiti
40.72826589,-73.98133952,graffiti
40.7094176,-73.95255763,graffiti
40.70765854,-73.95338125,graffiti
40.70878072,-73.95232724,graffiti
40.62300543,-73.96484884,graffiti
40.71267207,-73.87980653,graffiti
40.89193586,-73.85817542,graffiti
40.64689518,-74.01326839,graffiti
40.64312976,-74.00877783,graffiti
40.64517412,-74.01393829,graffiti
40.87553244,-73.85073619,graffiti
40.73041905,-73.99254206,graffiti
40.81074713,-73.85571856,graffiti
40.82914639,-73.87577671,graffiti
40.82882377,-73.87695168,graffiti
40.69906842,-73.91264212,graffiti
40.8285007,-73.88032721,graffiti
40.8046973,-73.95600432,graffiti
40.82841124,-73.88140778,graffiti
40.70418715,-73.9159752,graffiti
40.70301325,-73.91716686,graffiti
40.66200232,-73.96165642,graffiti
40.85623593,-73.88293428,graffiti
40.82774345,-73.85005567,graffiti
40.66377403,-73.76852998,graffiti
40.800439,-73.9601861,graffiti
40.83835776,-73.923124,graffiti
40.67529892,-73.99931503,graffiti
40.6380315,-74.0776757,graffiti
40.69372312,-73.96892252,graffiti
40.72823708,-73.99438598,graffiti
40.67701931,-73.97233002,graffiti
40.87937288,-73.87429425,graffiti
40.61244483,-73.98291703,graffiti
40.61237896,-73.98298188,graffiti
40.61221155,-73.9831476,graffiti
40.71787845,-74.00315649,graffiti
40.90063328,-73.86463191,graffiti
40.60131525,-73.95468709,graffiti
40.59897962,-73.9551676,graffiti
40.71875681,-73.99855701,graffiti
40.68059948,-73.90645781,graffiti
40.67771589,-73.90791116,graffiti
40.67922478,-73.90699332,graffiti
40.68029711,-73.90591021,graffiti
40.68153731,-73.9087784,graffiti
40.68121405,-73.9168406,graffiti
40.68198231,-73.90921045,graffiti
40.68468655,-73.91361285,graffiti
40.72477717,-73.98048545,graffiti
40.72522512,-73.98415086,graffiti
40.72416514,-73.98082836,graffiti
40.72652913,-73.98605191,graffiti
40.72694375,-73.98747334,graffiti
40.72596418,-73.99075306,graffiti
40.72251307,-73.98256413,graffiti
40.72279616,-73.98523374,graffiti
40.83496102,-73.82050403,graffiti
40.70075747,-73.92583607,graffiti
40.6991443,-73.92700273,graffiti
40.70676722,-73.92386006,graffiti
40.70594156,-73.92464728,graffiti
40.70576327,-73.92482061,graffiti
40.70440486,-73.92956133,graffiti
40.70682822,-73.92479776,graffiti
40.70703395,-73.92459194,graffiti
40.70807615,-73.92337885,graffiti
40.69433383,-73.9642054,graffiti
40.60882525,-73.97283368,graffiti
40.60725767,-73.97158462,graffiti
40.60927988,-73.96887539,graffiti
40.80806895,-73.93043056,graffiti
40.7126985,-73.96245329,graffiti
40.83338767,-73.82728033,graffiti
40.69133597,-73.90855224,graffiti
40.6891829,-73.91415511,graffiti
40.72645734,-73.89196911,graffiti
40.6180335,-73.9318317,graffiti
40.6164487,-73.93008638,graffiti
40.67675541,-73.9475408,graffiti
40.72192124,-73.99190446,graffiti
40.7200741,-73.99320701,graffiti
40.64012571,-74.01915109,graffiti
40.75845928,-73.81668907,graffiti
40.71775494,-73.99675333,graffiti
40.71780984,-73.99690844,graffiti
40.71804041,-73.9976191,graffiti
40.71825177,-73.99822153,graffiti
40.71867996,-73.99860752,graffiti
40.71867996,-73.99860752,graffiti
40.71883366,-73.99851011,graffiti
40.71942105,-74.00031746,graffiti
40.71969278,-74.00093435,graffiti
40.71966259,-74.00082973,graffiti
40.72026094,-74.00113638,graffiti
40.72052993,-73.99866159,graffiti
40.71946222,-73.99877345,graffiti
40.71946769,-73.99774892,graffiti
40.71951984,-73.99784993,graffiti
40.72003038,-73.99833693,graffiti
40.71942377,-73.99761905,graffiti
40.7183368,-73.99588391,graffiti
40.71831484,-73.99591637,graffiti
40.71822152,-73.99596328,graffiti
40.71825446,-73.99592359,graffiti
40.71821329,-73.99594524,graffiti
40.71816937,-73.99597049,graffiti
40.71804037,-73.9960643,graffiti
40.7181282,-73.99599214,graffiti
40.77558078,-73.91964008,graffiti
40.73831329,-73.88214912,graffiti
40.73778958,-73.8826805,graffiti
40.79647051,-73.93653558,graffiti
40.82798886,-73.82368456,graffiti
40.71736759,-73.95547396,graffiti
40.67648098,-73.87349058,graffiti
40.71717242,-73.9481944,graffiti
40.63292484,-74.00578614,graffiti
40.61115614,-73.97533228,graffiti
40.61168549,-73.97355286,graffiti
40.60905804,-73.9707555,graffiti
40.65635831,-73.9144208,graffiti
40.65779692,-73.9148875,graffiti
40.65596473,-73.90944048,graffiti
40.65615312,-73.90817159,graffiti
40.65810459,-73.90145069,graffiti
40.66598811,-73.90204822,graffiti
40.6690875,-73.90597649,graffiti
40.66901643,-73.90634067,graffiti
40.66907594,-73.90866567,graffiti
40.66867389,-73.91049384,graffiti
40.7848535,-73.84124018,graffiti
40.7848535,-73.84124018,graffiti
40.78485076,-73.84124019,graffiti
40.78485076,-73.84124019,graffiti
40.66135843,-73.9169843,graffiti
40.66483755,-73.92306806,graffiti
40.66482657,-73.92305366,graffiti
40.66467803,-73.92258524,graffiti
40.66495758,-73.91425478,graffiti
40.78321408,-73.8446709,graffiti
40.72085578,-73.98655815,graffiti
40.62478718,-74.07459826,graffiti
40.67353977,-73.97607347,graffiti
40.67557061,-73.97469559,graffiti
40.67181085,-73.97749444,graffiti
40.67489614,-73.97831896,graffiti
40.69168745,-73.81160426,graffiti
40.71471895,-73.99132817,graffiti
40.71505927,-73.99092412,graffiti
40.72010392,-73.9884703,graffiti
40.72042228,-73.98817082,graffiti
40.72172048,-73.987514,graffiti
40.72184674,-73.98747069,graffiti
40.72031789,-73.98730503,graffiti
40.72068841,-73.98711375,graffiti
40.72082574,-73.98796512,graffiti
40.71968931,-73.98709591,graffiti
40.71972226,-73.98720774,graffiti
40.71934047,-73.98494952,graffiti
40.71821794,-73.98552335,graffiti
40.71763055,-73.98546215,graffiti
40.69219049,-73.85801613,graffiti
40.70230473,-73.90938474,graffiti
40.71000297,-73.91934762,graffiti
40.67166903,-73.75444694,graffiti
40.85659973,-73.86900886,graffiti
40.73313608,-73.78198237,graffiti
40.6382264,-74.01866052,graffiti
40.63769401,-74.01803704,graffiti
40.63729066,-74.01713977,graffiti
40.6374361,-74.01734518,graffiti
40.63196418,-74.00526365,graffiti
40.72053216,-73.94272993,graffiti
40.79082252,-73.94890992,graffiti
40.7927526,-73.95014356,graffiti
40.79133117,-73.94486476,graffiti
40.86809919,-73.92286183,graffiti
40.68936731,-73.86587214,graffiti
40.68630481,-73.79390817,graffiti
40.75265706,-73.99310984,graffiti
40.67504983,-73.97823599,graffiti
40.68928878,-73.84488249,graffiti
40.66962909,-73.97928676,graffiti
40.67409533,-73.98221268,graffiti
40.68068531,-73.98081563,graffiti
40.69309021,-73.92839049,graffiti
40.69250715,-73.93097305,graffiti
40.69160675,-73.93077204,graffiti
40.6917202,-73.92780779,graffiti
40.69109341,-73.93067161,graffiti
40.6901331,-73.9360274,graffiti
40.68953766,-73.93634529,graffiti
40.68685065,-73.91906553,graffiti
40.69127939,-73.92522278,graffiti
40.704329,-73.913605,graffiti
40.69054972,-73.92590151,graffiti
40.69101283,-73.92473627,graffiti
40.69121177,-73.92678064,graffiti
40.69221089,-73.92680839,graffiti
40.68185841,-73.91977826,graffiti
40.68104225,-73.92238236,graffiti
40.68096264,-73.92236443,graffiti
40.67994505,-73.91942003,graffiti
40.6533672,-73.9208518,graffiti
40.7176312,-73.99209978,graffiti
40.71446676,-73.99947334,graffiti
40.71235313,-73.99394725,graffiti
40.64364458,-74.01878456,graffiti
40.63822771,-74.00672701,graffiti
40.63973414,-74.01230491,graffiti
40.64024473,-74.01177173,graffiti
40.63702816,-74.00795193,graffiti
40.65553652,-73.99948823,graffiti
40.65840068,-73.98212676,graffiti
40.71343424,-73.9893985,graffiti
40.71339311,-73.9898963,graffiti
40.71302836,-73.99428626,graffiti
40.7137059,-73.98864095,graffiti
40.71389512,-73.98708982,graffiti
40.72303618,-73.9503761,graffiti
40.72306913,-73.95039412,graffiti
40.72310207,-73.95041213,graffiti
40.61978159,-73.9824829,graffiti
40.60804207,-74.09229526,graffiti
40.60683962,-74.0925745,graffiti
40.60681217,-74.09258887,graffiti
40.71165487,-73.7935304,graffiti
40.67304414,-73.90772655,graffiti
40.67323906,-73.90778035,graffiti
40.71241628,-73.99436567,graffiti
40.7115133,-73.99523145,graffiti
40.6860129,-73.86561568,graffiti
40.87136986,-73.86269559,graffiti
40.87135819,-73.86212071,graffiti
40.71511134,-73.98998983,graffiti
40.89266488,-73.85511035,graffiti
40.89214706,-73.85805923,graffiti
40.89112947,-73.85862201,graffiti
40.88765978,-73.86054621,graffiti
40.88388557,-73.86262273,graffiti
40.88013887,-73.86477489,graffiti
40.88010047,-73.86479667,graffiti
40.88002642,-73.86484744,graffiti
40.87937641,-73.86525739,graffiti
40.87467407,-73.86704235,graffiti
40.71563011,-73.99004025,graffiti
40.69517862,-73.84455505,graffiti
40.71443616,-73.99029654,graffiti
40.71444989,-73.99041197,graffiti
40.69920017,-73.83311694,graffiti
40.71347811,-73.9889007,graffiti
40.71273429,-73.98901265,graffiti
40.71272058,-73.98915333,graffiti
40.7127151,-73.98923629,graffiti
40.87919834,-73.91830704,graffiti
40.88014461,-73.91739821,graffiti
40.68120823,-73.95597402,graffiti
40.74232895,-73.92915675,graffiti
40.69757668,-73.90083697,graffiti
40.70949717,-73.95248544,graffiti
40.71061987,-73.95271909,graffiti
40.76993784,-73.9088992,graffiti
40.69577882,-73.95964636,graffiti
40.69257256,-73.93993762,graffiti
40.69318198,-73.94008132,graffiti
40.69254844,-73.94105552,graffiti
40.69171722,-73.94192891,graffiti
40.69177461,-73.94143123,graffiti
40.65,-73.95,graffiti
40.69118921,-73.94546322,graffiti
40.69044114,-73.94241682,graffiti
40.68327332,-73.93496313,graffiti
40.75685338,-73.82179376,graffiti
40.75553615,-73.81498622,graffiti
40.69586,-73.959168,graffiti
40.69150978,-73.95026975,graffiti
40.69440228,-73.93797423,graffiti
40.69459135,-73.93737543,graffiti
40.69514549,-73.93200169,graffiti
40.69412089,-73.94604502,graffiti
40.69592014,-73.93797282,graffiti
40.69878741,-73.95325402,graffiti
40.70023624,-73.9460581,graffiti
40.70015704,-73.9469129,graffiti
40.70028824,-73.94572987,graffiti
40.76516845,-73.8190568,graffiti
40.6999838,-73.94063781,graffiti
40.69980523,-73.940317,graffiti
40.69959916,-73.93992408,graffiti
40.69926949,-73.93935817,graffiti
40.69832713,-73.93765322,graffiti
40.69812657,-73.93730359,graffiti
40.69802766,-73.93712697,graffiti
40.69803039,-73.93709451,graffiti
40.69790403,-73.9369071,graffiti
40.69690443,-73.93600287,graffiti
40.69687712,-73.9362373,graffiti
40.69681599,-73.93491386,graffiti
40.69705455,-73.93450972,graffiti
40.75588004,-73.81548338,graffiti
40.69606317,-73.9335911,graffiti
40.69596702,-73.93345416,graffiti
40.69524164,-73.93214223,graffiti
40.6945135,-73.93084475,graffiti
40.69380228,-73.93030818,graffiti
40.83086863,-73.90287872,graffiti
40.7465686,-73.94788282,graffiti
40.68451496,-73.8615804,graffiti
40.61517334,-74.01575097,graffiti
40.84680195,-73.89686637,graffiti
40.57625087,-74.16243972,graffiti
40.84586608,-73.91367099,graffiti
40.87216111,-73.8500893,graffiti
40.83382036,-73.92674656,graffiti
40.83673779,-73.92643978,graffiti
40.84289512,-73.91577109,graffiti
40.66262571,-73.98847303,graffiti
40.83320431,-73.91310923,graffiti
40.70120803,-73.88603763,graffiti
40.86548522,-73.86502161,graffiti
40.86074886,-73.92703504,graffiti
40.84889431,-73.90427291,graffiti
40.76523672,-73.83338828,graffiti
40.85958227,-73.89796001,graffiti
40.85397841,-73.89889399,graffiti
40.76595572,-73.83520955,graffiti
40.76918723,-73.83586583,graffiti
40.85090444,-73.89901072,graffiti
40.85788479,-73.89655637,graffiti
40.86050416,-73.8945495,graffiti
40.85194678,-73.93182331,graffiti
40.72678981,-73.94767099,graffiti
40.83196635,-73.86227823,graffiti
40.70177554,-73.8072587,graffiti
40.88484532,-73.89287262,graffiti
40.71331264,-73.82861231,graffiti
40.7215152,-74.00486307,graffiti
40.7215152,-74.00486307,graffiti
40.74356708,-73.75383189,graffiti
40.64318224,-74.00154945,graffiti
40.84844852,-73.92086773,graffiti
40.73528254,-73.88162405,graffiti
40.6480797,-73.94538314,graffiti
40.67911407,-73.99563395,graffiti
40.59478428,-74.06478505,graffiti
40.74079684,-73.87146669,graffiti
40.68942857,-73.95533757,graffiti
40.68877154,-73.95999315,graffiti
40.68860265,-73.95598356,graffiti
40.688857,-73.955614,graffiti
40.68858425,-73.95119863,graffiti
40.6885717,-73.9554532,graffiti
40.68794903,-73.94849835,graffiti
40.6839193,-73.9540108,graffiti
40.68127312,-73.95348262,graffiti
40.683635,-73.95021433,graffiti
40.68360482,-73.95023238,graffiti
40.68357187,-73.95020356,graffiti
40.67979875,-73.95243088,graffiti
40.6769608,-73.92241956,graffiti
40.67733569,-73.9291645,graffiti
40.67216593,-73.92699982,graffiti
40.67048742,-73.92907084,graffiti
40.71949238,-74.00276696,graffiti
40.66947288,-73.92633227,graffiti
40.72015933,-74.00381317,graffiti
40.71974489,-74.00329006,graffiti
40.71822981,-74.00163417,graffiti
40.71853173,-74.00230516,graffiti
40.76252247,-73.83550683,graffiti
40.76226189,-73.83371339,graffiti
40.74785648,-73.76134454,graffiti
40.85204281,-73.93175454,graffiti
40.69422224,-73.93032938,graffiti
40.76225269,-73.91631708,graffiti
40.71078888,-73.96477008,graffiti
40.83893542,-73.88232504,graffiti
40.74137243,-73.82502165,graffiti
40.72186675,-73.9567697,graffiti
40.69145454,-73.84497842,graffiti
40.76113043,-73.835189,graffiti
40.85686813,-73.90481452,graffiti
40.85452842,-73.90667951,graffiti
40.84766377,-73.91353854,graffiti
40.85383867,-73.90907709,graffiti
40.84609959,-73.92164762,graffiti
40.85255129,-73.93296495,graffiti
40.85568963,-73.86290509,graffiti
40.85449499,-73.86700316,graffiti
40.84951413,-73.86768543,graffiti
40.84702639,-73.86678677,graffiti
40.84493297,-73.86747406,graffiti
40.75866767,-73.82904428,graffiti
40.84124969,-73.86999321,graffiti
40.75868141,-73.82905868,graffiti
40.75868141,-73.82905868,graffiti
40.75867596,-73.82908396,graffiti
